HID;PID;TIME_PERIOD;REF_AREA;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;IND1;IND2;IND4;IND3;IND3_1;IND3_2;IND31;IND32;IND33;IND34;IND35;IND36;IND37;IND38;IND31_E;IND32_E;IND35_E;IND33_E;IND34_E;IND31_H;IND32_H;IND37_H;IND36_H;IND35_H;IND38_H;IND33_H;IND34_H;WGHT2;IND31_imp;IND32_imp;IND33_imp;IND34_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND31_H_imp;IND32_H_imp;IND33_H_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND31_E_imp;IND32_E_imp;IND33_E_imp;IND34_E_imp;IND35_E_imp
11130;5;2020;AT;21;21;81;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;-1;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;8;-1;-1;-1;-1;1720,664779782480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11149;6;2020;AT;95;95;95;95;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2115,846918003750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11232;3;2020;AT;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;6;1;-1;-1;-1;1;1;1;2;2;-1;-1;2;-1;2;-1;-1;-1;5;3.5;-1;-1;20;551,597875709891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11232;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;6;1;1;-1;-1;-1;-1;1;2;2;2;-1;-1;-1;-1;7;-1;-1;5;-1;-1;-1;-1;551,597875709891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12282;5;2020;AT;40;40;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1879,832140149630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11293;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;6;1;6;6;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;518,964210747460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11296;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;1;1;2;2;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;464,146371280176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11379;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;469,426891862920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11398;4;2020;AT;21;81;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;6;6;6;6;-1;-1;-1;1;1;2;2;2;-1;-1;2;-1;2;-1;-1;-1;-1;5;-1;-1;38;1025,576736576770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11454;3;2020;AT;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;2;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;400,037174756623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11454;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;400,037174756623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11546;5;2020;AT;22;21;81;81;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;25;315,983505346074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11546;6;2020;AT;21;21;81;81;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;1;1;-1;1;-1;-1;-1;2;2;2;-1;2;-1;-1;-1;-1;27;-1;-1;-1;-1;-1;-1;315,983505346074;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
13704;2;2020;AT;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;2;-1;-1;-1;2;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;32;-1;-1;244,770367122786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11604;4;2020;AT;21;90;90;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;-1;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;20;-1;-1;-1;-1;2265,554739725170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11641;3;2020;AT;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;22;366,088649122544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
