HID;PID;TIME_PERIOD;REF_AREA;DIARY;DDV1;DDV1A;DDV2;DDV3;DDV4;DDV5A;DDV5B;DDV5C;DDV5D;DDV5E;DDV6;DDV7;DDV8A;DDV8B;WGHT1;DATA_COLLECTION_MODE
11018;1;2020;AT;2;7;2;18;6;2022;-9;-9;-9;2;1;1;1;-9;-1;703,2892232399490;2
11018;2;2020;AT;1;6;1;17;6;2022;-9;382;-9;1;1;1;1;-9;-1;1507,0483355141801;2
11018;2;2020;AT;2;7;2;18;6;2022;111;111;111;3;2;1;3;-9;-1;703,2892232399490;2
11041;1;2020;AT;1;5;1;9;6;2022;611;321;111;2;1;1;1;1;-1;424,2477157582360;2
11041;1;2020;AT;2;6;1;10;6;2022;611;-9;-9;2;1;1;1;-9;-1;424,2477157582360;2
11041;2;2020;AT;1;5;1;9;6;2022;361;321;311;3;1;1;3;1;-1;424,2477157582360;2
11041;2;2020;AT;2;6;1;10;6;2022;-9;111;111;4;1;1;1;1;-1;424,2477157582360;2
11044;1;2020;AT;1;6;1;10;6;2022;531;312;111;3;2;1;1;1;-1;566,2303742025400;1
11044;1;2020;AT;2;1;2;12;6;2022;513;311;311;1;1;1;3;1;-1;264,2408412945190;1
11044;2;2020;AT;1;6;1;10;6;2022;531;910;111;3;2;1;1;4;180;566,2303742025400;1
11044;2;2020;AT;2;1;2;12;6;2022;311;311;939;2;1;1;3;1;-1;264,2408412945190;1
11059;1;2020;AT;1;5;1;21;7;2022;21;-9;311;2;2;2;-1;1;-1;765,4566753871010;2
11059;1;2020;AT;2;1;2;31;7;2022;531;332;-9;2;1;2;-1;1;-1;357,2131151806470;2
11059;2;2020;AT;1;5;1;21;7;2022;21;32;900;3;1;2;-1;1;-1;765,4566753871010;2
11059;2;2020;AT;2;1;2;31;7;2022;11;411;-9;1;2;2;-1;1;-1;357,2131151806470;2
11104;1;2020;AT;1;6;1;15;7;2022;11;31;324;3;1;2;-1;1;-1;678,7793400741100;1
11104;1;2020;AT;2;1;2;17;7;2022;900;31;21;3;1;2;-1;2;120;316,7636920345850;1
11104;2;2020;AT;1;6;1;15;7;2022;21;31;900;3;1;2;-1;1;-1;678,7793400741100;1
11104;2;2020;AT;2;1;2;17;7;2022;21;515;515;3;1;2;-1;2;120;316,7636920345850;1
11105;1;2020;AT;1;5;1;12;5;2022;31;910;111;2;1;1;1;1;-1;800,0193884831100;1
11105;1;2020;AT;2;7;2;14;5;2022;511;331;31;1;1;1;3;1;-1;373,3423812921180;1
11105;2;2020;AT;1;5;1;12;5;2022;21;321;321;2;1;1;1;1;-1;800,0193884831100;1
11105;2;2020;AT;2;7;2;14;5;2022;21;321;361;3;1;1;6;1;-1;373,3423812921180;1
11114;1;2020;AT;1;6;1;27;5;2022;11;111;111;2;1;1;1;1;-1;512,2160101276090;1
11114;1;2020;AT;2;1;2;29;5;2022;11;11;111;3;1;1;3;1;-1;239,0341380595510;1
11114;2;2020;AT;1;6;1;27;5;2022;311;111;111;3;1;1;1;1;-1;512,2160101276090;1
11114;2;2020;AT;2;1;2;29;5;2022;611;111;111;1;1;1;1;1;-1;239,0341380595510;1
11122;1;2020;AT;1;3;1;10;5;2022;531;32;311;5;2;1;1;1;-1;331,9802667228710;1
11122;1;2020;AT;2;7;2;14;5;2022;531;331;960;1;2;1;3;2;100;154,9241244706730;1
11122;2;2020;AT;1;3;1;10;5;2022;611;321;938;3;1;1;3;1;-1;331,9802667228710;1
11122;2;2020;AT;2;7;2;14;5;2022;821;960;525;3;1;1;3;1;-1;154,9241244706730;1
11130;1;2020;AT;1;3;1;21;6;2022;821;31;321;2;1;2;-1;1;-1;1173,1805316698701;1
11130;1;2020;AT;2;7;2;25;6;2022;11;321;311;2;1;2;-1;1;-1;547,4842481126070;1
11130;2;2020;AT;1;3;1;21;6;2022;111;121;343;4;1;1;1;1;-1;1173,1805316698701;1
11130;2;2020;AT;2;7;2;25;6;2022;511;614;614;4;2;1;3;1;-1;547,4842481126070;1
11142;1;2020;AT;1;2;2;18;4;2022;611;514;311;3;1;1;3;1;-1;693,3126289775980;1
11142;1;2020;AT;2;3;1;19;4;2022;910;332;910;3;1;1;1;1;-1;1485,6699192377100;1
11142;2;2020;AT;1;2;2;18;4;2022;613;980;980;2;1;1;3;4;300;693,3126289775980;1
11142;2;2020;AT;2;3;1;19;4;2022;111;910;910;2;1;1;1;4;988;1485,6699192377100;1
11149;1;2020;AT;1;4;1;27;4;2022;611;111;111;2;1;1;1;1;-1;1442,6228986389201;1
11149;1;2020;AT;2;7;2;7;5;2022;424;321;311;1;2;1;3;1;-1;673,2240193648300;1
11149;2;2020;AT;1;4;1;27;4;2022;21;111;311;4;1;1;1;1;-1;1442,6228986389201;1
11149;2;2020;AT;2;7;2;30;4;2022;614;321;21;5;2;1;3;1;-1;673,2240193648300;1
11170;1;2020;AT;1;3;1;28;6;2022;344;344;343;1;1;1;1;1;-1;563,8845741500051;1
11170;1;2020;AT;2;1;2;3;7;2022;616;341;31;1;1;1;5;1;-1;263,1461346033360;1
11170;2;2020;AT;1;3;1;28;6;2022;344;111;111;2;1;1;1;1;-1;563,8845741500051;1
11170;2;2020;AT;2;1;2;3;7;2022;531;341;344;1;1;1;5;1;-1;263,1461346033360;1
11189;1;2020;AT;1;6;1;1;7;2022;21;111;111;3;1;1;1;1;-1;595,2060183377390;1
11189;1;2020;AT;2;1;2;3;7;2022;519;950;995;1;1;1;3;1;-1;277,7628085576110;1
11189;2;2020;AT;1;6;1;1;7;2022;361;995;-9;1;1;1;6;1;-1;595,2060183377390;1
11189;2;2020;AT;2;1;2;3;7;2022;513;950;950;1;1;1;3;1;-1;277,7628085576110;1
11232;1;2020;AT;1;5;1;28;7;2022;531;31;361;3;1;1;3;1;-1;376,0894607112890;1
11232;1;2020;AT;2;1;2;31;7;2022;11;910;111;3;1;1;1;1;-1;175,5084149986020;1
11232;2;2020;AT;1;5;1;28;7;2022;910;312;31;3;1;1;1;1;-1;376,0894607112890;1
11232;2;2020;AT;2;1;2;31;7;2022;531;31;311;3;1;1;3;4;60;175,5084149986020;1
11237;1;2020;AT;1;5;1;1;9;2022;21;111;111;2;1;1;1;1;-1;660,7615280310780;1
11237;1;2020;AT;2;7;2;3;9;2022;512;361;361;1;2;1;3;1;-1;308,3553797478360;1
11237;2;2020;AT;1;5;1;1;9;2022;31;111;111;2;1;1;1;1;-1;660,7615280310780;1
11237;2;2020;AT;2;7;2;3;9;2022;512;343;811;1;1;1;3;1;-1;308,3553797478360;1
11252;1;2020;AT;1;4;1;28;9;2022;613;111;111;2;1;1;1;1;-1;255,8598387280570;1
11252;1;2020;AT;2;1;2;2;10;2022;613;331;331;3;2;1;3;1;-1;119,4012580730930;1
11252;2;2020;AT;1;4;1;28;9;2022;39;424;424;2;2;1;6;1;-1;255,8598387280570;1
11252;2;2020;AT;2;1;2;2;10;2022;32;424;424;2;2;1;4;1;-1;119,4012580730930;1
11254;1;2020;AT;1;2;1;10;10;2022;31;936;111;3;1;1;1;1;-1;363,5148826142410;1
11254;1;2020;AT;2;7;2;15;10;2022;324;321;339;1;1;1;3;1;-1;169,6402785533130;1
11254;2;2020;AT;1;2;1;10;10;2022;31;910;111;2;1;1;1;1;-1;363,5148826142410;1
11254;2;2020;AT;2;7;2;5;11;2022;21;32;900;2;2;1;3;1;-1;169,6402785533130;1
11256;1;2020;AT;1;3;1;4;10;2022;611;312;361;3;2;1;3;1;-1;432,3503501944400;1
11256;1;2020;AT;2;7;2;8;10;2022;529;960;311;1;2;1;5;4;200;201,7634967574050;1
11256;2;2020;AT;1;3;1;4;10;2022;739;111;31;3;1;1;1;1;-1;432,3503501944400;1
11256;2;2020;AT;2;7;2;8;10;2022;529;21;960;1;2;1;5;4;190;201,7634967574050;1
11269;1;2020;AT;1;5;1;1;9;2022;615;960;960;1;2;1;3;1;-1;306,1451175534810;1
11269;1;2020;AT;2;1;2;4;9;2022;21;329;341;3;2;1;3;1;-1;142,8677215249580;1
11269;2;2020;AT;1;5;1;1;9;2022;21;11;21;1;2;2;-1;1;-1;306,1451175534810;1
11269;2;2020;AT;2;1;2;4;9;2022;811;324;324;3;1;2;-1;1;-1;142,8677215249580;1
11270;1;2020;AT;1;5;1;15;9;2022;21;324;324;2;1;1;1;1;-1;760,7903996026801;1
11270;1;2020;AT;2;1;2;18;9;2022;611;324;311;3;1;1;6;2;10;355,0355198145840;1
11270;2;2020;AT;1;5;1;15;9;2022;21;111;111;2;1;1;1;1;-1;760,7903996026801;1
11270;2;2020;AT;2;1;2;18;9;2022;611;392;392;3;2;1;3;2;10;355,0355198145840;1
11284;1;2020;AT;1;4;1;21;9;2022;621;311;324;1;2;2;-1;2;100;303,3247666111450;1
11284;1;2020;AT;2;7;2;24;9;2022;21;515;324;3;2;2;-1;1;-1;141,5515577518680;1
11284;2;2020;AT;1;4;1;21;9;2022;621;311;324;1;2;2;-1;2;100;303,3247666111450;1
11284;2;2020;AT;2;7;2;24;9;2022;21;323;341;3;1;2;-1;1;-1;141,5515577518680;1
11293;1;2020;AT;1;5;1;15;9;2022;383;361;111;2;1;2;-1;1;-1;353,8392346005410;1
11293;1;2020;AT;2;7;2;17;9;2022;511;341;361;2;2;2;-1;1;-1;165,1249761469190;1
11293;2;2020;AT;1;5;1;15;9;2022;381;321;221;2;1;2;-1;1;-1;353,8392346005410;1
11293;2;2020;AT;2;7;2;17;9;2022;511;321;321;2;1;2;-1;1;-1;165,1249761469190;1
11296;1;2020;AT;1;3;1;2;8;2022;111;111;111;2;1;1;1;1;-1;316,4634349637560;1
11296;1;2020;AT;2;7;2;6;8;2022;821;311;936;3;2;1;3;1;-1;147,6829363164200;1
11296;2;2020;AT;1;3;1;2;8;2022;519;321;311;3;1;1;3;1;-1;316,4634349637560;1
11296;2;2020;AT;2;7;2;6;8;2022;821;321;311;3;2;1;3;1;-1;147,6829363164200;1
11315;1;2020;AT;1;2;1;19;9;2022;615;331;341;2;2;2;-1;1;-1;353,7251087990240;1
11315;1;2020;AT;2;1;2;25;9;2022;611;321;311;3;1;2;-1;1;-1;165,0717174395450;1
11315;2;2020;AT;1;2;1;26;9;2022;519;341;341;1;2;2;-1;2;40;353,7251087990240;1
11315;2;2020;AT;2;1;2;25;9;2022;21;324;421;2;2;2;-1;1;-1;165,0717174395450;1
11352;1;2020;AT;1;5;1;18;8;2022;32;31;900;3;1;1;1;1;-1;1089,3519437985101;1
11352;1;2020;AT;2;7;2;20;8;2022;511;321;21;3;1;1;6;1;-1;508,3642404393060;1
11352;2;2020;AT;1;5;1;18;8;2022;619;321;321;1;1;2;-1;1;-1;1089,3519437985101;1
11352;2;2020;AT;2;7;2;20;8;2022;821;351;361;3;1;2;-1;1;-1;508,3642404393060;1
11379;1;2020;AT;1;6;1;16;9;2022;531;321;910;3;1;2;-1;1;-1;320,0637899065360;1
11379;1;2020;AT;2;1;2;18;9;2022;531;321;21;1;1;2;-1;1;-1;149,3631019563840;1
11379;2;2020;AT;1;6;1;16;9;2022;383;381;311;5;1;2;-1;1;-1;320,0637899065360;1
11379;2;2020;AT;2;1;2;18;9;2022;821;381;300;3;1;2;-1;1;-1;149,3631019563840;1
11398;1;2020;AT;1;3;1;2;8;2022;21;900;111;2;2;1;4;1;-1;699,2568658477950;1
11398;1;2020;AT;2;1;2;7;8;2022;383;341;936;3;1;1;3;1;-1;326,3198707289710;1
11398;3;2020;AT;1;3;1;2;8;2022;21;32;32;2;2;1;1;1;-1;699,2568658477950;1
11398;3;2020;AT;2;1;2;7;8;2022;31;12;12;5;2;1;4;1;-1;326,3198707289710;1
11411;1;2020;AT;1;3;1;11;10;2022;613;939;-9;1;2;1;-9;1;-1;395,8048700539850;2
11411;1;2020;AT;2;7;2;15;10;2022;523;-9;-9;1;2;1;3;2;60;184,7089393585270;2
11411;2;2020;AT;1;3;1;11;10;2022;531;-9;910;1;2;1;6;-9;-1;395,8048700539850;2
11411;2;2020;AT;2;7;2;15;10;2022;21;995;429;1;1;1;3;1;-1;184,7089393585270;2
11419;1;2020;AT;1;3;1;13;9;2022;821;910;910;3;2;1;1;1;-1;1156,7637647613501;1
11419;1;2020;AT;2;1;2;18;9;2022;611;341;341;1;2;1;3;1;-1;539,8230902219650;1
11419;2;2020;AT;1;3;1;13;9;2022;21;910;31;4;2;1;1;1;-1;1156,7637647613501;1
11419;2;2020;AT;2;1;2;18;9;2022;611;821;332;3;2;1;3;1;-1;539,8230902219650;1
11444;1;2020;AT;1;2;1;26;9;2022;-9;-9;-9;2;1;2;-1;1;-1;534,3725656978430;2
11444;1;2020;AT;2;7;2;1;10;2022;611;-9;-9;1;1;2;-1;1;-1;249,3738639923270;2
11444;2;2020;AT;1;2;1;26;9;2022;341;-9;-9;1;1;2;-1;1;-1;534,3725656978430;2
11444;2;2020;AT;2;7;2;1;10;2022;613;-9;-9;1;1;2;-1;1;-1;249,3738639923270;2
11454;1;2020;AT;1;5;1;13;10;2022;383;910;111;3;1;1;1;1;-1;272,7526191522430;1
11454;1;2020;AT;2;7;2;15;10;2022;513;31;31;1;2;1;3;4;270;127,2845556043800;1
11454;2;2020;AT;1;5;1;13;10;2022;383;31;311;1;1;2;-1;1;-1;272,7526191522430;1
11454;2;2020;AT;2;7;2;15;10;2022;512;31;31;1;1;2;-1;1;-1;127,2845556043800;1
11490;1;2020;AT;1;6;1;19;8;2022;21;980;324;2;2;2;-1;4;250;632,4747637939280;1
11490;1;2020;AT;2;7;2;20;8;2022;513;531;936;1;2;2;-1;1;-1;295,1548897705000;1
11490;2;2020;AT;1;6;1;19;8;2022;21;811;341;2;1;2;-1;1;-1;632,4747637939280;1
11490;2;2020;AT;2;7;2;20;8;2022;513;31;31;2;1;2;-1;1;-1;295,1548897705000;1
11493;1;2020;AT;1;4;2;26;10;2022;11;111;111;2;1;1;1;-9;-1;323,4602042687420;2
11493;1;2020;AT;2;7;2;29;10;2022;910;910;910;-8;1;1;1;-9;-1;323,4602042687420;2
11493;2;2020;AT;1;4;1;2;11;2022;512;311;-9;1;1;1;3;-9;-1;441,0820967301030;2
11493;2;2020;AT;2;7;2;5;11;2022;111;910;910;2;1;1;1;-9;-1;205,8383118073810;2
11496;1;2020;AT;1;2;1;17;10;2022;819;321;311;1;1;2;-1;1;-1;599,8366842151540;2
11496;1;2020;AT;2;7;2;22;10;2022;511;321;361;1;1;2;-1;-9;-1;279,9237859670720;2
11496;2;2020;AT;1;2;1;17;10;2022;511;111;111;2;1;1;1;1;-1;599,8366842151540;2
11496;2;2020;AT;2;7;2;22;10;2022;511;321;361;1;1;1;3;1;-1;279,9237859670720;2
11502;2;2020;AT;1;4;1;7;9;2022;731;-9;-9;2;1;2;-1;1;-1;1471,9389765098001;2
11502;2;2020;AT;2;1;2;11;9;2022;11;-9;-9;2;1;2;-1;1;-1;686,9048557045730;2
11502;3;2020;AT;1;4;1;7;9;2022;613;-9;-9;2;1;2;-1;1;-1;1471,9389765098001;2
11502;3;2020;AT;2;1;2;11;9;2022;531;-9;-9;2;2;2;-1;1;-1;686,9048557045730;2
11511;1;2020;AT;1;4;1;7;9;2022;611;-9;-9;1;2;1;5;4;550;1236,4905539818801;2
11511;1;2020;AT;2;7;2;10;9;2022;821;321;311;2;1;1;3;1;-1;577,0289251915440;2
11511;2;2020;AT;1;4;1;7;9;2022;821;-9;-9;1;2;2;-1;4;550;1236,4905539818801;2
11511;2;2020;AT;2;7;2;10;9;2022;821;939;-9;3;1;2;-1;1;-1;577,0289251915440;2
11546;1;2020;AT;1;2;1;3;10;2022;821;341;341;2;1;1;3;1;-1;215,4432990995960;2
11546;1;2020;AT;2;7;2;8;10;2022;512;359;938;1;1;1;3;2;10;100,5402062464780;2
11546;2;2020;AT;1;2;1;3;10;2022;821;332;-9;2;1;1;1;1;-1;215,4432990995960;2
11546;2;2020;AT;2;7;2;8;10;2022;512;321;311;2;1;1;3;2;10;100,5402062464780;2
11573;1;2020;AT;1;4;1;14;9;2022;711;111;111;3;1;1;1;1;-1;246,7941859080870;1
11573;1;2020;AT;2;7;2;17;9;2022;344;111;111;3;1;1;3;1;-1;115,1706200904400;1
11573;2;2020;AT;1;4;1;14;9;2022;619;321;111;3;1;1;1;1;-1;246,7941859080870;1
11573;2;2020;AT;2;7;2;17;9;2022;344;514;311;1;1;1;3;1;-1;115,1706200904400;1
11604;2;2020;AT;1;5;1;22;9;2022;531;323;342;3;1;2;-1;-9;-1;1544,6964134489799;2
11604;2;2020;AT;2;1;2;25;9;2022;432;-9;-9;2;-8;2;-1;2;-9;720,8583262761910;2
11604;3;2020;AT;1;5;1;22;9;2022;619;321;-9;1;1;2;-1;-9;-1;1544,6964134489799;2
11604;3;2020;AT;2;1;2;25;9;2022;-9;311;-9;1;1;2;-1;-9;-1;720,8583262761910;2
11615;1;2020;AT;1;6;1;9;9;2022;341;361;111;2;1;1;1;1;-1;351,1075443061160;2
11615;1;2020;AT;2;7;2;10;9;2022;341;361;361;1;1;1;-9;1;-1;163,8501873428540;2
11615;2;2020;AT;1;6;1;9;9;2022;611;321;111;2;1;1;1;1;-1;351,1075443061160;2
11615;2;2020;AT;2;7;2;10;9;2022;341;361;361;2;1;1;3;-9;-1;163,8501873428540;2
11618;1;2020;AT;1;2;1;1;8;2022;811;361;343;3;2;1;5;1;-1;418,2512411155280;1
11618;1;2020;AT;2;1;2;7;8;2022;812;321;995;1;1;1;3;2;15;195,1839125205800;1
11618;2;2020;AT;1;2;1;1;8;2022;512;349;31;3;2;1;5;1;-1;418,2512411155280;1
11618;2;2020;AT;2;1;2;7;8;2022;11;821;31;3;2;1;4;1;-1;195,1839125205800;1
11641;1;2020;AT;1;2;1;17;10;2022;11;384;321;3;1;2;-1;1;-1;249,6058971290070;1
11641;1;2020;AT;2;1;2;23;10;2022;383;331;382;1;1;2;-1;1;-1;116,4827519935370;1
11641;2;2020;AT;1;2;1;17;10;2022;383;910;910;3;1;1;1;1;-1;249,6058971290070;1
11641;2;2020;AT;2;1;2;23;10;2022;311;341;341;1;1;1;3;1;-1;116,4827519935370;1
11679;1;2020;AT;1;2;1;19;9;2022;344;111;111;2;1;1;1;1;-1;282,5291283850060;1
11679;1;2020;AT;2;1;2;25;9;2022;344;300;311;3;1;1;3;1;-1;131,8469265796690;1
11679;2;2020;AT;1;2;1;19;9;2022;11;12;311;4;2;1;4;1;-1;282,5291283850060;1
11679;2;2020;AT;2;1;2;25;9;2022;344;321;311;3;2;1;3;1;-1;131,8469265796690;1
11686;1;2020;AT;1;4;1;14;9;2022;611;514;950;2;2;1;1;-9;-1;344,4595856551250;2
11686;1;2020;AT;2;1;2;18;9;2022;21;960;960;1;2;1;3;4;-9;160,7478066390590;2
11686;2;2020;AT;1;4;1;14;9;2022;332;531;361;1;2;2;-1;1;-1;344,4595856551250;2
11686;2;2020;AT;2;1;2;18;9;2022;21;960;960;1;2;2;-1;4;-9;160,7478066390590;2
11723;1;2020;AT;1;6;1;14;10;2022;383;936;936;1;1;1;5;1;-1;296,9922260434070;1
11723;1;2020;AT;2;7;2;15;10;2022;512;936;936;1;1;1;3;1;-1;138,5963721535900;1
11723;2;2020;AT;1;6;1;14;10;2022;11;321;938;3;1;1;-9;2;60;296,9922260434070;1
11723;2;2020;AT;2;7;2;15;10;2022;611;321;936;3;1;1;3;1;-1;138,5963721535900;1
11732;1;2020;AT;1;3;1;4;10;2022;21;324;910;2;1;1;1;1;-1;857,3445409617040;1
11732;1;2020;AT;2;7;2;8;10;2022;613;960;361;1;2;1;3;3;80;400,0941191154620;1
11732;2;2020;AT;1;3;1;4;10;2022;21;362;111;2;1;1;1;1;-1;857,3445409617040;1
11732;2;2020;AT;2;7;2;8;10;2022;613;324;31;3;2;1;3;1;-1;400,0941191154620;1
11769;1;2020;AT;1;2;1;12;9;2022;812;343;361;3;1;1;3;1;-1;2110,4521453432799;1
11769;1;2020;AT;2;1;2;18;9;2022;812;323;311;1;2;1;3;1;-1;984,8776678268659;1
11769;2;2020;AT;1;2;1;12;9;2022;21;31;729;3;2;1;5;1;-1;2110,4521453432799;1
11769;2;2020;AT;2;1;2;18;9;2022;621;321;312;3;2;1;3;1;-1;984,8776678268659;1
11850;1;2020;AT;1;2;1;10;10;2022;-9;-9;111;2;1;1;1;1;-1;1062,7779384230801;2
11850;1;2020;AT;2;7;2;15;10;2022;529;-9;312;1;2;1;3;1;-1;495,9630379307710;2
11850;3;2020;AT;1;2;1;10;10;2022;531;111;111;2;1;1;1;1;-1;1062,7779384230801;2
11850;3;2020;AT;2;7;2;15;10;2022;621;-9;-9;1;1;1;3;1;-1;495,9630379307710;2
11892;1;2020;AT;1;4;1;7;12;2022;11;615;31;3;1;1;3;1;-1;246,7370933647530;1
11892;1;2020;AT;2;7;2;10;12;2022;11;611;21;4;2;1;4;1;-1;115,1439769035510;1
11892;2;2020;AT;1;4;1;7;12;2022;734;111;111;2;1;1;1;1;-1;246,7370933647530;1
11892;2;2020;AT;2;7;2;10;12;2022;734;111;111;4;1;1;1;1;-1;115,1439769035510;1
11928;1;2020;AT;1;4;1;7;12;2022;615;321;920;3;1;1;2;1;-1;322,2856191612340;1
11928;1;2020;AT;2;7;2;10;12;2022;361;212;212;1;1;1;3;1;-1;150,3999556085760;1
11928;2;2020;AT;1;4;1;7;12;2022;21;12;371;4;2;1;4;1;-1;322,2856191612340;1
11928;2;2020;AT;2;7;2;10;12;2022;344;321;980;1;1;1;3;2;40;150,3999556085760;1
11929;1;2020;AT;1;5;1;24;11;2022;11;111;111;3;1;2;-1;1;-1;184,6636494141640;1
11929;1;2020;AT;2;7;2;26;11;2022;21;324;111;3;1;2;-1;1;-1;86,1763697266100;1
11929;2;2020;AT;1;5;1;24;11;2022;531;321;111;1;1;1;1;1;-1;184,6636494141640;1
11929;2;2020;AT;2;7;2;26;11;2022;513;311;111;1;1;1;3;1;-1;86,1763697266100;1
11963;1;2020;AT;1;5;1;1;12;2022;900;321;321;2;2;1;6;1;-1;119,1733407725630;1
11963;1;2020;AT;2;7;2;3;12;2022;514;511;611;5;2;1;3;2;200;55,6142256938628;1
11963;2;2020;AT;1;5;1;1;12;2022;615;321;910;3;1;1;1;1;-1;119,1733407725630;1
11963;2;2020;AT;2;7;2;3;12;2022;611;31;31;3;1;1;3;2;100;55,6142256938628;1
11969;1;2020;AT;1;6;1;2;12;2022;212;361;111;1;1;1;1;1;-1;541,5115194070240;1
11969;1;2020;AT;2;1;2;4;12;2022;212;311;311;1;1;1;3;1;-1;252,7053757232780;1
11969;2;2020;AT;1;6;1;2;12;2022;511;995;311;3;2;1;1;1;-1;541,5115194070240;1
11969;2;2020;AT;2;1;2;4;12;2022;821;382;382;3;1;1;3;1;-1;252,7053757232780;1
11976;1;2020;AT;1;4;1;30;11;2022;513;910;321;1;1;2;-1;1;-1;773,5860643441840;1
11976;1;2020;AT;2;7;2;3;12;2022;513;321;31;1;2;2;-1;1;-1;361,0068300272860;1
11976;3;2020;AT;1;4;1;30;11;2022;980;31;980;3;1;2;-1;1;-1;773,5860643441840;1
11976;3;2020;AT;2;7;2;3;12;2022;980;354;980;1;1;2;-1;1;-1;361,0068300272860;1
11990;1;2020;AT;1;6;1;2;12;2022;21;321;312;3;2;2;-1;1;-1;303,6066426535570;1
11990;1;2020;AT;2;1;2;4;12;2022;512;722;950;1;1;2;-1;2;54;141,6830999049930;1
11990;2;2020;AT;1;6;1;2;12;2022;361;312;514;1;1;2;-1;1;-1;303,6066426535570;1
11990;2;2020;AT;2;1;2;4;12;2022;615;433;960;1;1;2;-1;2;54;141,6830999049930;1
11998;1;2020;AT;1;3;1;29;11;2022;311;31;111;3;1;1;1;1;-1;320,1842477148250;1
11998;1;2020;AT;2;7;2;3;12;2022;31;351;21;1;1;1;-9;1;-1;149,4193156002520;1
11998;2;2020;AT;1;3;1;29;11;2022;821;321;321;2;1;1;-9;1;-1;320,1842477148250;1
11998;2;2020;AT;2;7;2;3;12;2022;383;321;995;3;1;1;-9;1;-1;149,4193156002520;1
12022;1;2020;AT;1;2;1;5;12;2022;11;32;311;2;2;2;-1;1;-1;263,2493699956300;1
12022;1;2020;AT;2;5;2;8;12;2022;383;32;21;1;2;2;-1;1;-1;122,8497059979600;1
12022;2;2020;AT;1;2;1;5;12;2022;21;111;111;3;1;2;-1;1;-1;263,2493699956300;1
12022;2;2020;AT;2;5;2;8;12;2022;21;980;980;1;2;2;-1;4;140;122,8497059979600;1
12042;1;2020;AT;1;4;1;7;12;2022;31;615;321;3;2;1;1;1;-1;246,4020362386010;1
12042;1;2020;AT;2;5;2;8;12;2022;21;111;910;2;2;1;1;1;-1;114,9876169113470;1
12042;2;2020;AT;1;4;1;7;12;2022;21;910;910;2;2;1;1;1;-1;246,4020362386010;1
12042;2;2020;AT;2;5;2;8;12;2022;21;321;361;3;2;1;3;1;-1;114,9876169113470;1
12043;1;2020;AT;1;4;1;7;12;2022;529;910;31;2;1;2;-1;1;-1;184,9659595978380;1
12043;1;2020;AT;2;7;2;10;12;2022;344;321;300;1;1;2;-1;1;-1;86,3174478123244;1
12043;2;2020;AT;1;4;1;7;12;2022;21;910;910;2;1;1;1;1;-1;184,9659595978380;1
12043;2;2020;AT;2;7;2;10;12;2022;21;300;321;1;1;1;3;1;-1;86,3174478123244;1
12045;1;2020;AT;1;6;1;2;12;2022;512;312;910;1;2;1;1;1;-1;323,7420544539630;1
12045;1;2020;AT;2;7;2;3;12;2022;324;819;300;1;1;1;3;-9;-1;151,0796254118490;1
12045;2;2020;AT;1;6;1;2;12;2022;512;311;311;1;1;1;4;1;-1;323,7420544539630;1
12045;2;2020;AT;2;7;2;3;12;2022;529;615;615;1;1;1;4;1;-1;151,0796254118490;1
12047;1;2020;AT;1;6;1;2;12;2022;615;321;999;3;1;2;-1;4;100;233,4244581783430;1
12047;1;2020;AT;2;7;2;3;12;2022;424;321;311;3;1;2;-1;1;-1;108,9314138165600;1
12047;2;2020;AT;1;6;1;2;12;2022;21;936;960;3;1;2;-1;4;100;233,4244581783430;1
12047;2;2020;AT;2;7;2;3;12;2022;424;325;936;3;1;2;-1;1;-1;108,9314138165600;1
12055;1;2020;AT;1;4;1;7;12;2022;11;382;381;2;1;2;-1;1;-1;207,3209689547320;1
12055;1;2020;AT;2;5;2;8;12;2022;344;321;321;3;2;2;-1;3;60;96,7497855122082;1
12055;2;2020;AT;1;4;1;7;12;2022;511;31;111;2;1;1;1;1;-1;207,3209689547320;1
12055;2;2020;AT;2;5;2;8;12;2022;383;31;111;2;1;1;1;1;-1;96,7497855122082;1
12112;1;2020;AT;1;2;1;5;12;2022;21;519;-9;3;1;2;-1;1;-1;169,9331817051820;2
12112;1;2020;AT;2;7;2;3;12;2022;614;-9;-9;1;1;2;-1;1;-1;79,3021514624185;2
12112;2;2020;AT;1;2;1;21;11;2022;11;514;514;3;2;2;-1;1;-1;169,9331817051820;2
12112;2;2020;AT;2;7;2;26;11;2022;611;-9;-9;1;1;2;-1;1;-1;79,3021514624185;2
12117;1;2020;AT;1;2;1;28;11;2022;344;111;111;2;1;1;1;1;-1;291,3619050693770;1
12117;1;2020;AT;2;1;2;4;12;2022;344;331;995;1;2;1;3;1;-1;135,9688890323760;1
12117;2;2020;AT;1;2;1;12;12;2022;821;32;32;4;2;2;-1;1;-1;291,3619050693770;1
12117;2;2020;AT;2;1;2;11;12;2022;821;515;515;3;1;2;-1;1;-1;135,9688890323760;1
12119;1;2020;AT;1;4;1;9;11;2022;612;332;300;3;2;1;3;1;-1;376,5342828114150;1
12119;1;2020;AT;2;7;2;12;11;2022;611;311;311;5;2;1;3;2;20;175,7159986453270;1
12119;2;2020;AT;1;4;1;9;11;2022;619;111;362;1;2;1;6;1;-1;376,5342828114150;1
